"Requirement_ID","Role","Policy_Requirement","Process_Requirement","Competency","Mandatory_Optional","Priority","Source_Document","Source_Section","Assessment_Requirement","Source_Version","Scope"
"R001","Customer Support Executive","—","Escalate any unresolved complaint exceeding 24 hours, or involving safety/legal/financial risk, to a Team Leader within 1 business hour of the threshold being identified","Escalation judgment & Tier-2 authority awareness","Mandatory","High","DOC-07","4.2","Scenario quiz: identify when a complaint must escalate to Tier 2","1.0","Role-specific"
"R002","Customer Support Executive","—","Acknowledge and attempt first-contact resolution on any incoming customer issue within 2 business hours","First-response SLA management","Mandatory","High","DOC-07","4.1","Practical task: respond to a simulated Tier-1 ticket within SLA","1.0","Role-specific"
"R003","Customer Support Executive","—","Log every escalation with ticket ID, customer ID, tier reached, resolution, and time-to-resolution","Escalation documentation discipline","Mandatory","Medium","DOC-07","5","Checklist: complete a sample escalation log entry","1.0","Role-specific"
"R004","Customer Support Executive","Treat customers and colleagues with respect and communicate professionally in all channels","—","Customer-facing professional conduct","Mandatory","High","DOC-04","2","Quiz: professional conduct standards","1.0","Company-wide"
"R005","Customer Support Executive","Access customer data only through approved, logged tooling during escalation handling — never direct database export","—","Secure customer-data handling","Mandatory","Medium","DOC-06","4","Quiz: approved vs prohibited data-access methods","1.0","Role-specific"
"R006","Customer Support Executive","Collect and process customer personal data only with recorded consent for a stated purpose","—","Data-privacy-aware customer handling","Mandatory","Medium","DOC-05","3","Quiz: consent requirements for customer data capture","1.0","Company-wide"
"R007","Customer Support Executive","Digitally acknowledge receipt and understanding of the Employee Handbook within 5 business days of joining","—","Policy-acknowledgement compliance","Mandatory","High","DOC-01","9","Checklist item: handbook acknowledgement recorded","2.0","Company-wide"
"R008","Customer Support Executive","Submit a medical certificate for any sick leave exceeding 2 consecutive working days","—","Leave-policy awareness","Mandatory","Low","DOC-03","3","Quiz: sick leave documentation rules","1.0","Company-wide"
"R009","Sales Executive","—","Confirm budget authority, timeline within 6 months, and a genuine training/HR-tech need before marking a lead Qualified","Lead qualification judgment","Mandatory","Medium","DOC-08","3","Scenario task: qualify or reject a sample lead","1.0","Role-specific"
"R010","Sales Executive","—","Log every customer interaction in the CRM within 24 hours","CRM data hygiene","Mandatory","High","DOC-08","4","Practical task: create a compliant CRM entry","1.0","Role-specific"
"R011","Sales Executive","—","Route deals of 500,000,000 VND or more to Branch Manager for approval before sending the proposal","Deal-approval threshold awareness","Mandatory","Medium","DOC-08","5","Quiz: identify which deals require Branch Manager approval","1.0","Role-specific"
"R012","Sales Executive","—","Use the internal upsell playbook for renewal conversations","Upsell technique (supplementary)","Optional","Low","DOC-08","7","—","1.0","Role-specific"
"R013","Sales Executive","Wear business-formal attire during client meetings and site visits","—","Client-facing presentation standard","Mandatory","Low","DOC-04","4.2","Checklist item: dress-code acknowledgement","1.0","Role-specific"
"R014","Sales Executive","Obtain informed consent before entering customer contact data collected during prospecting into the CRM","—","Data-privacy-aware prospecting","Mandatory","High","DOC-05","3","Quiz: consent requirements for lead data","1.0","Company-wide"
"R015","Sales Executive","Digitally acknowledge receipt and understanding of the Employee Handbook within 5 business days of joining","—","Policy-acknowledgement compliance","Mandatory","High","DOC-01","9","Checklist item: handbook acknowledgement recorded","2.0","Company-wide"
"R016","Sales Executive","Accrue and use the standard 12-day annual leave entitlement","—","Leave-policy awareness","Mandatory","Low","DOC-03","2","Quiz: annual leave entitlement","1.0","Company-wide"
"R017","HR Executive","—","Verify eligibility and file statutory social-insurance paperwork for maternity/paternity leave within statutory deadlines","Statutory leave compliance filing","Mandatory","High","DOC-03","4","Scenario task: process a sample maternity-leave filing","1.0","Role-specific"
"R018","HR Executive","—","Record approved leave and update the employee's entitlement balance after manager approval","Leave-workflow administration","Mandatory","Medium","DOC-03","6","Practical task: process a leave approval end-to-end","1.0","Role-specific"
"R019","HR Executive","Receive and handle anti-harassment/anti-discrimination reports immediately upon escalation","—","Harassment-complaint intake & handling","Mandatory","High","DOC-04","3","Scenario task: intake a harassment complaint correctly","1.0","Role-specific"
"R020","HR Executive","Receive conflict-of-interest disclosures within 10 business days of the conflict arising","—","Conflict-of-interest intake","Mandatory","Medium","DOC-04","5","Quiz: conflict-of-interest disclosure process","1.0","Role-specific"
"R021","HR Executive","Access employee personal records restricted to HR-necessary fields only","—","Least-privilege data access (HR)","Mandatory","High","DOC-05","4","Quiz: HR data-access boundaries","1.0","Role-specific"
"R022","HR Executive","—","Act as Data Privacy Officer: notify affected individuals within statutory deadlines following a confirmed breach","Breach-notification response","Mandatory","High","DOC-05","7","Scenario task: draft a breach notification within deadline","1.0","Role-specific"
"R023","HR Executive","Digitally acknowledge receipt and understanding of the Employee Handbook within 5 business days of joining","—","Policy-acknowledgement compliance","Mandatory","High","DOC-01","9","Checklist item: handbook acknowledgement recorded","2.0","Company-wide"
"R024","HR Executive","Accrue and use the standard 12-day annual leave entitlement","—","Leave-policy awareness","Mandatory","Low","DOC-03","2","Quiz: annual leave entitlement","1.0","Company-wide"
"R025","Finance Associate","—","Verify every expense claim's original receipts and documentation before approval processing","Expense-claim verification","Mandatory","High","DOC-09","3","Practical task: verify a sample expense claim","1.0","Role-specific"
"R026","Finance Associate","—","Apply the approval matrix: claims of 5,000,000 VND or more require Branch Manager approval in addition to the direct manager","Reimbursement approval-threshold judgment","Mandatory","High","DOC-09","4","Quiz: identify which claims need Branch Manager sign-off","1.0","Role-specific"
"R027","Finance Associate","—","Pay approved claims within 10 business days of verification","Reimbursement SLA management","Mandatory","Medium","DOC-09","5","Checklist item: reimbursement timeline compliance","1.0","Role-specific"
"R028","Finance Associate","Store receipt images containing personal payment data per the Data Privacy Policy retention schedule, not indefinitely","—","Financial-record data retention","Mandatory","Medium","DOC-09","7","Quiz: receipt-data retention limits","1.0","Role-specific"
"R029","Finance Associate","Access only payment and reimbursement data, per role-based least-privilege rules","—","Least-privilege data access (Finance)","Mandatory","High","DOC-05","4","Quiz: Finance data-access boundaries","1.0","Role-specific"
"R030","Finance Associate","Use multi-factor authentication for all systems handling financial data","—","Financial-systems access security","Mandatory","High","DOC-06","2","Checklist item: MFA enabled on finance systems","1.0","Company-wide"
"R031","Finance Associate","Digitally acknowledge receipt and understanding of the Employee Handbook within 5 business days of joining","—","Policy-acknowledgement compliance","Mandatory","High","DOC-01","9","Checklist item: handbook acknowledgement recorded","2.0","Company-wide"
"R032","Finance Associate","Accrue and use the standard 12-day annual leave entitlement","—","Leave-policy awareness","Mandatory","Low","DOC-03","2","Quiz: annual leave entitlement","1.0","Company-wide"
"R033","Operations Coordinator","Comply with the office dress code, except while on approved field visits to partner schools","—","Field-vs-office conduct judgment","Mandatory","Low","DOC-04","7","Quiz: when the dress-code exception applies","1.0","Role-specific"
"R034","Operations Coordinator","Treat colleagues, customers, and partners with respect and communicate professionally, including during field visits","—","Field-professional conduct","Mandatory","High","DOC-04","2","Quiz: professional conduct standards","1.0","Company-wide"
"R035","Operations Coordinator","Use only company-approved software and devices when accessing company systems","—","Acceptable-use compliance","Mandatory","Medium","DOC-06","3","Quiz: acceptable use of company systems","1.0","Company-wide"
"R036","Operations Coordinator","Access company systems remotely only via company VPN and an approved, encrypted device during field work","—","Remote/field access security","Mandatory","Medium","DOC-06","6","Checklist item: VPN and device compliance for field visits","1.0","Role-specific"
"R037","Operations Coordinator","Collect partner-school data only for a stated purpose, with recorded consent","—","Data-privacy-aware field data collection","Mandatory","Medium","DOC-05","3","Quiz: consent requirements for field-collected data","1.0","Company-wide"
"R038","Operations Coordinator","Digitally acknowledge receipt and understanding of the Employee Handbook within 5 business days of joining","—","Policy-acknowledgement compliance","Mandatory","High","DOC-01","9","Checklist item: handbook acknowledgement recorded","2.0","Company-wide"
"R039","Operations Coordinator","Accrue and use the standard 12-day annual leave entitlement","—","Leave-policy awareness","Mandatory","Low","DOC-03","2","Quiz: annual leave entitlement","1.0","Company-wide"
"R040","Operations Coordinator","—","Hold the partner-school kickoff call within 3 business days of contract signature","Partner-school onboarding timeliness","Mandatory","High","DOC-12","6.1","Scenario quiz: a school signs on Monday — by when must the kickoff call happen","2.0","Role-specific"
"R041","Marketing Executive","Treat colleagues, customers, and partners with respect and communicate professionally in all marketing channels","—","Professional conduct in external communications","Mandatory","High","DOC-04","2","Quiz: professional conduct standards","1.0","Company-wide"
"R042","Marketing Executive","Use passwords of at least 12 characters with mixed case, numbers, and symbols; enable MFA on systems handling customer data","—","Marketing-systems access security","Mandatory","High","DOC-06","2","Checklist item: MFA enabled on marketing tools","1.0","Company-wide"
"R043","Marketing Executive","Use only company-approved marketing/analytics software and devices","—","Acceptable-use compliance","Mandatory","Medium","DOC-06","3","Quiz: acceptable use of company systems","1.0","Company-wide"
"R044","Marketing Executive","Collect campaign lead and contact data only for a stated purpose, with recorded consent","—","Data-privacy-aware campaign management","Mandatory","High","DOC-05","3","Quiz: consent requirements for campaign data","1.0","Company-wide"
"R045","Marketing Executive","Share personal data with third-party ad/marketing platforms only under a signed data-processing agreement with Data Privacy Officer sign-off","—","Third-party data-sharing compliance","Mandatory","High","DOC-05","6","Quiz: third-party data-sharing rules","1.0","Company-wide"
"R046","Marketing Executive","Digitally acknowledge receipt and understanding of the Employee Handbook within 5 business days of joining","—","Policy-acknowledgement compliance","Mandatory","High","DOC-01","9","Checklist item: handbook acknowledgement recorded","2.0","Company-wide"
"R047","Marketing Executive","Accrue and use the standard 12-day annual leave entitlement","—","Leave-policy awareness","Mandatory","Low","DOC-03","2","Quiz: annual leave entitlement","1.0","Company-wide"
"R048","Marketing Executive","—","Launch an external campaign only after all four approval steps (brief, approval, brand and claims check, data-processing check) are recorded in the campaign log","Campaign approval discipline","Mandatory","High","DOC-13","4.3","Scenario quiz: identify the missing approval step before launch","1.1","Role-specific"
"R049","Software Support Engineer","—","Confirm passing test suite, updated release notes, documented rollback plan, and 24-hour customer notice before deployment","Pre-deployment readiness verification","Mandatory","High","DOC-10","3","Checklist: complete a pre-deployment checklist","1.0","Role-specific"
"R050","Software Support Engineer","—","Execute the documented rollback plan and notify the Team Leader immediately if critical issues appear within 2 hours of deployment","Incident rollback execution","Mandatory","High","DOC-10","5","Scenario task: execute a rollback for a simulated failed deployment","1.0","Role-specific"
"R051","Software Support Engineer","—","Confirm functionality with the customer and close the deployment ticket at handover","Client handover discipline","Mandatory","Medium","DOC-10","6","Practical task: complete a client handover checklist","1.0","Role-specific"
"R052","Software Support Engineer","Access production customer data only through approved, logged tooling — never direct database export","—","Secure production-data access","Mandatory","High","DOC-06","4","Quiz: approved vs prohibited data-access methods","1.0","Role-specific"
"R053","Software Support Engineer","Access only role-relevant data per least-privilege rules; use anonymized data unless explicitly authorized","—","Least-privilege data access (Engineering)","Mandatory","High","DOC-05","4","Quiz: Engineering data-access boundaries","1.0","Role-specific"
"R054","Software Support Engineer","Use passwords of at least 12 characters with mixed case, numbers, and symbols; enable MFA on all systems handling customer data","—","Systems access security","Mandatory","High","DOC-06","2","Checklist item: MFA enabled on engineering systems","1.0","Company-wide"
"R055","Software Support Engineer","Digitally acknowledge receipt and understanding of the Employee Handbook within 5 business days of joining","—","Policy-acknowledgement compliance","Mandatory","High","DOC-01","9","Checklist item: handbook acknowledgement recorded","2.0","Company-wide"
"R056","Software Support Engineer","Accrue and use the standard 12-day annual leave entitlement","—","Leave-policy awareness","Mandatory","Low","DOC-03","2","Quiz: annual leave entitlement","1.0","Company-wide"
"R057","Branch Manager","Wear business-formal attire during client meetings and site visits","—","Client-facing presentation standard","Mandatory","Low","DOC-04","4.2","Checklist item: dress-code acknowledgement","1.0","Role-specific"
"R058","Branch Manager","—","Approve sales deals of 500,000,000 VND or more before the proposal is sent","Deal-approval authority","Mandatory","High","DOC-08","5","Scenario task: approve/reject a sample large deal","1.0","Role-specific"
"R059","Branch Manager","—","Approve expense-reimbursement claims of 5,000,000 VND or more, in addition to the employee's direct manager","Reimbursement approval authority","Mandatory","High","DOC-09","4","Scenario task: approve/reject a sample large claim","1.0","Role-specific"
"R060","Branch Manager","—","Take final authority on Tier 3 customer escalations left unresolved after 48 hours, including approving compensation or refunds","Tier-3 escalation authority","Mandatory","High","DOC-07","4.3","Scenario task: resolve a simulated Tier-3 escalation","1.0","Role-specific"
"R061","Branch Manager","Enforce the three-stage disciplinary process, applying the direct-to-written-warning fast path for security violations","—","Disciplinary process oversight","Mandatory","Medium","DOC-04","6","Quiz: disciplinary process stages and exceptions","1.0","Role-specific"
"R062","Branch Manager","Oversee incident-reporting compliance within the branch, ensuring 1-hour reporting to IT Security","—","Branch security-incident oversight","Mandatory","Medium","DOC-06","5","Quiz: incident-reporting escalation timeline","1.0","Role-specific"
"R063","Branch Manager","Digitally acknowledge receipt and understanding of the Employee Handbook within 5 business days of joining","—","Policy-acknowledgement compliance","Mandatory","High","DOC-01","9","Checklist item: handbook acknowledgement recorded","2.0","Company-wide"
"R064","Branch Manager","Accrue and use the seniority-level 15-day annual leave entitlement","—","Leave-policy awareness (seniority)","Mandatory","Low","DOC-03","2.1","Quiz: seniority leave entitlement","1.0","Role-specific"
"R065","Data Analyst","Use anonymized or aggregated datasets by default; access beyond that requires written Data Privacy Officer approval","—","Least-privilege data access (Data)","Mandatory","High","DOC-05","4","Quiz: Data Analyst default access scope","1.0","Role-specific"
"R066","Data Analyst","Use anonymized datasets for analysis unless explicitly authorized under the Data Privacy Policy","—","Anonymized-data-first analysis practice","Mandatory","High","DOC-06","4","Scenario task: choose the correct dataset for a sample analysis request","1.0","Role-specific"
"R067","Data Analyst","Follow the data retention and deletion schedule when storing or archiving analysis datasets","—","Data-retention compliance","Mandatory","Medium","DOC-05","5","Quiz: retention periods for employee vs customer data","1.0","Company-wide"
"R068","Data Analyst","Use passwords of at least 12 characters with mixed case, numbers, and symbols; enable MFA where required","—","Systems access security","Mandatory","High","DOC-06","2","Checklist item: MFA enabled on data systems","1.0","Company-wide"
"R069","Data Analyst","Access company systems remotely only via company VPN and an approved, encrypted device","—","Remote access security","Mandatory","Medium","DOC-06","6","Checklist item: VPN and device compliance","1.0","Company-wide"
"R070","Data Analyst","Do not share personal data with third parties without a signed data-processing agreement and Data Privacy Officer sign-off","—","Third-party data-sharing compliance","Mandatory","Medium","DOC-05","6","Quiz: third-party data-sharing rules","1.0","Company-wide"
"R071","Data Analyst","Digitally acknowledge receipt and understanding of the Employee Handbook within 5 business days of joining","—","Policy-acknowledgement compliance","Mandatory","High","DOC-01","9","Checklist item: handbook acknowledgement recorded","2.0","Company-wide"
"R072","Data Analyst","Accrue and use the standard 12-day annual leave entitlement","—","Leave-policy awareness","Mandatory","Low","DOC-03","2","Quiz: annual leave entitlement","1.0","Company-wide"
"R073","Team Leader/Tech Lead","—","Receive Tier-2 escalations from Customer Support Executive within 1 business hour of the 24-hour threshold, and resolve or advance to Tier 3 within 48 hours","Tier-2 escalation resolution authority","Mandatory","High","DOC-07","4.2","Scenario task: resolve a simulated Tier-2 escalation","1.0","Role-specific"
"R074","Team Leader/Tech Lead","—","Review and record sign-off on every production deployment before it proceeds","Deployment approval authority","Mandatory","High","DOC-10","4","Scenario task: approve/reject a sample deployment request","1.0","Role-specific"
"R075","Team Leader/Tech Lead","—","Provide oversight for the Software Support Engineer's pre-deployment checklist and rollback execution","Deployment quality oversight","Mandatory","Medium","DOC-10","2","Quiz: deployment sign-off responsibilities","1.0","Role-specific"
"R076","Team Leader/Tech Lead","Access production customer data only through approved, logged tooling — never direct database export","—","Secure production-data access","Mandatory","High","DOC-06","4","Quiz: approved vs prohibited data-access methods","1.0","Role-specific"
"R077","Team Leader/Tech Lead","Accrue and use the seniority-level 15-day annual leave entitlement","—","Leave-policy awareness (seniority)","Mandatory","Low","DOC-03","2.1","Quiz: seniority leave entitlement","1.0","Role-specific"
"R078","Team Leader/Tech Lead","Use passwords of at least 12 characters with mixed case, numbers, and symbols; enable MFA on systems handling customer data","—","Systems access security","Mandatory","High","DOC-06","2","Checklist item: MFA enabled on engineering systems","1.0","Company-wide"
"R079","Team Leader/Tech Lead","Digitally acknowledge receipt and understanding of the Employee Handbook within 5 business days of joining","—","Policy-acknowledgement compliance","Mandatory","High","DOC-01","9","Checklist item: handbook acknowledgement recorded","2.0","Company-wide"
"R080","Team Leader/Tech Lead","Apply the direct-to-written-warning disciplinary fast path when a team member commits a security-related violation","—","Team-level disciplinary escalation awareness","Mandatory","Medium","DOC-04","6","Quiz: disciplinary process for security violations","1.0","Role-specific"
"R081","Customer Support Executive","—","Complete Tier 2 Escalation Authority training during Week 1, before handling escalations unsupervised","Escalation readiness","Mandatory","High","DOC-14","5.3","Checklist item: Week 1 escalation training completed","1.1","Role-specific"
"R082","Customer Support Executive","—","Work the approved rotating shifts covering 08:00–20:00 on weekdays and 09:00–13:00 on Saturdays, taking a weekday off in the same or following week for each Saturday shift","Shift coverage","Mandatory","Medium","DOC-20","3","Quiz: extended service hours and Saturday compensation","1.1","Role-specific"
"R083","Customer Support Executive","—","Measure the 2-business-hour acknowledgement target within the hours of the shift that receives the issue","SLA calculation across shifts","Mandatory","Medium","DOC-20","3","Scenario quiz: acknowledgement deadline for an issue received near the end of a shift","1.1","Role-specific"
"R084","Customer Support Executive","—","When the other site cannot open, take over its support queue until it confirms it is operating again and log every complaint received during the disruption","Business continuity for support","Mandatory","Medium","DOC-12","8","Scenario quiz: handling the queue during a site closure","2.0","Role-specific"
"R085","Customer Support Executive","—","Handle complaints forwarded by Sales or Marketing through the customer escalation process","Cross-team complaint intake","Mandatory","Low","DOC-13","5","Quiz: where complaints from campaign contacts go","1.1","Role-specific"
"R086","Sales Executive","—","Record the consent status of every contact entered in the CRM when logging the interaction","Consent tracking in CRM","Mandatory","High","DOC-13","3.2","Practical task: complete a CRM contact with consent status","1.1","Role-specific"
"R087","Sales Executive","—","Close leads that fail any of the three qualification criteria as Closed-Lost with a reason code","Pipeline hygiene","Mandatory","Medium","DOC-13","3.2","Scenario task: close an unqualified lead correctly","1.1","Role-specific"
