Metric_ID,Metric_Name,Department,Definition,Formula,Source_System,Owner,Refresh,Data_Class,Target,Related_Document
M001,Qualified leads,Marketing,"Number of campaign leads handed over to Sales in the month that the Sales Executive marked as Qualified under the three qualification criteria. A lead counts in the month it was qualified, not the month it was created.",Count of leads with stage Qualified and a campaign source,CRM,Marketing Executive,Monthly,Internal,Set in the annual marketing plan,DOC-13 §4.7; DOC-08 §3
M002,Cost per qualified lead,Marketing,"Campaign spend in the month divided by the qualified leads attributed to that spend. Spend includes advertising, agency fees and event costs recorded against the campaign budget line.",Campaign spend / M001,Accounting system; CRM,Marketing Executive,Monthly,Internal,Set per campaign in the brief,DOC-13 §4.7; DOC-22 §9
M003,Campaign approval completeness,Marketing,"Share of campaigns launched in the month whose campaign log contains all four approval steps before the launch date. A campaign approved after launch counts as incomplete.",Campaigns with complete approval before launch / campaigns launched,Campaign log,Head of Sales & Marketing,Monthly,Internal,100 percent,DOC-13 §4.3; DOC-22 §4
M004,Email unsubscribe rate,Marketing,"Unsubscribes caused by an email campaign divided by the emails delivered for that campaign. Unsubscribe requests received by reply are included once they are processed.",Unsubscribes / emails delivered,Email platform,Marketing Executive,Per campaign,Internal,Below 0.5 percent,DOC-13 §4.7; DOC-22 §6.2
M005,Email complaint rate,Marketing,"Spam complaints for an email campaign divided by the emails delivered. When the rate goes above 0.3 percent the next send to that segment is stopped.",Complaints / emails delivered,Email platform,Marketing Executive,Per campaign,Internal,Below 0.3 percent,DOC-22 §6.2
M006,Lead handover time,Marketing,"Share of campaign leads created in the CRM that were handed over to Sales within 1 business day of the lead being received.",Leads handed over within 1 business day / leads received,CRM,Marketing Executive,Monthly,Internal,100 percent,DOC-13 §4.2; DOC-22 §7
M007,Always-on advertising spend,Marketing,"Spend on always-on digital advertising in the calendar month across all advertising accounts of the Company. Checked every Monday against the monthly limit.",Sum of advertising spend in the month,Advertising platforms; accounting system,Marketing Executive,Weekly,Internal,At most 30000000 VND per month,DOC-13 §4.6; DOC-22 §6.1
M008,Quarterly revenue against target,Sales,"Revenue of contracts signed in the quarter compared with the Sales Executive's quarterly target. Revenue is counted at contract signature.",Signed contract value / quarterly target,CRM; accounting system,Sales Executive,Quarterly,Confidential,Set per Sales Executive,DOC-13 §3.4
M009,Lead-to-qualified conversion,Sales,"Share of leads created in the quarter that reached the Qualified stage by the end of the following month.",Qualified leads / leads created,CRM,Sales Executive,Quarterly,Internal,Tracked for trend,DOC-13 §3.4; DOC-08 §2
M010,Qualified-to-won conversion,Sales,"Share of qualified opportunities that ended as Closed-Won. Opportunities still open at the end of the period are excluded.",Closed-Won / (Closed-Won + Closed-Lost),CRM,Sales Executive,Quarterly,Internal,Tracked for trend,DOC-13 §3.4
M011,CRM logging within 24 hours,Sales,"Share of customer interactions logged in the CRM within 24 hours of taking place. Applies to calls, meetings and emails with prospects and customers.",Interactions logged within 24 hours / interactions logged,CRM,Sales Executive,Monthly,Internal,At least 95 percent,DOC-13 §3.4; DOC-08 §4
M012,Forecast accuracy,Sales,"Difference between the revenue forecast at the start of the month and the revenue actually signed in that month, as a share of the forecast. Reviewed by the Branch Manager.",1 - abs(actual - forecast) / forecast,CRM,Branch Manager,Monthly,Confidential,Tracked for trend,DOC-08 §6; DOC-12 §5.2
M013,Acknowledgement within 2 business hours,Customer Support,"Share of incoming customer issues that received an acknowledgement with a ticket ID within 2 business hours, measured within the hours of the shift that received the issue.",Issues acknowledged in time / issues received,Support system,Customer Support Executive,Weekly,Internal,At least 95 percent,DOC-07 §4.1; DOC-14 §5.4; DOC-27 §5
M014,First-contact resolution rate,Customer Support,"Share of tickets closed at Tier 1 without escalation and without the customer reopening them within 7 calendar days.",Tickets resolved at first contact / tickets closed,Support system,Customer Support Executive,Weekly,Internal,Tracked for trend,DOC-14 §5.4; DOC-27 §6
M015,Escalation timeliness,Customer Support,"Share of escalations raised within 1 business hour of the escalation trigger: 24 hours without resolution, or a safety, legal or financial risk identified.",Escalations raised in time / escalations raised,Support system,Team Leader / Tech Lead,Weekly,Internal,100 percent,DOC-07 §4.2; DOC-14 §5.4
M016,Resolution time by priority,Customer Support,"Median time from ticket creation to resolution, reported separately for P1, P2, P3 and P4 tickets and compared with the resolution targets.",Median(resolved at - created at) per priority,Support system,Head of Customer Support,Weekly,Internal,P1 4 business hours; P2 1 business day; P3 3 business days; P4 5 business days,DOC-27 §5
M017,Customer satisfaction score,Customer Support,"Average score of the satisfaction survey sent when a ticket is closed, on a scale from 1 to 5. Tickets without a survey answer are excluded.",Sum of scores / answered surveys,Support system,Head of Customer Support,Weekly,Internal,At least 4.2,DOC-27 §11
M018,Knowledge articles overdue for review,Customer Support,"Number of published knowledge articles whose last review is older than 6 months.",Count of articles with last review older than 6 months,Knowledge base,Head of Customer Support,Monthly,Internal,Zero,DOC-27 §7
M019,Sessions delivered as planned,Operations,"Share of partner-school sessions in the delivery calendar that took place on the planned date. Sessions moved by the school more than 5 business days ahead are excluded.",Sessions delivered on the planned date / sessions planned,Operations calendar,Operations Coordinator,Monthly,Internal,At least 95 percent,DOC-23 §11
M020,Visit reports on time,Operations,"Share of field visit reports submitted within 1 business day of the visit.",Reports submitted within 1 business day / field visits,Branch log,Operations Coordinator,Monthly,Internal,100 percent,DOC-12 §6.2; DOC-23 §9
M021,Partner-school kickoff time,Operations,"Share of newly signed partner schools whose kickoff call took place within 3 business days of contract signature.",Kickoffs within 3 business days / contracts signed,CRM; operations calendar,Operations Coordinator,Monthly,Internal,100 percent,DOC-12 §6.1
M022,Open follow-up actions,Operations,"Number of follow-up actions from visit reports that are still open more than 10 business days after their due date.",Count of overdue follow-up actions,Branch log,Operations Coordinator,Monthly,Internal,Zero,DOC-23 §11
M023,Vendor on-time delivery,Operations,"Share of purchase orders delivered on or before the delivery date on the purchase order, per vendor and in total.",Orders delivered on time / orders delivered,Procurement system,Operations Coordinator,Quarterly,Internal,At least 90 percent,DOC-24 §8
M024,Invoice match rate,Finance,"Share of vendor invoices that matched the purchase order and the delivery confirmation at the first check.",Invoices matched at first check / invoices received,Accounting system; procurement system,Finance Associate,Monthly,Internal,Tracked for trend,DOC-24 §7
